Movie Name,Watch Time,Movie Rating,Meatscore of movie,Votes,Gross,Description
The Shawshank Redemption,142 min,9.3,81,"34,709",$28.34M,"Two imprisoned men bond over a number of years, finding solace and eventual redemption through acts of common decency."
The Dark Knight,152 min,9,84,"34,709",$534.86M,"When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice."
The Lord of the Rings: The Return of the King,201 min,9,94,"34,709",$377.85M,Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.
Pulp Fiction,154 min,8.9,94,"34,709",$107.93M,"The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption."
Inception,148 min,8.8,74,"34,709",$292.58M,"A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O., but his tragic past may doom the project and his team to disaster."
The Lord of the Rings: The Two Towers,179 min,8.8,87,"34,709",$342.55M,"While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum, the divided fellowship makes a stand against Sauron's new ally, Saruman, and his hordes of Isengard."
Fight Club,139 min,8.8,66,"34,709",$37.03M,An insomniac office worker and a devil-may-care soap maker form an underground fight club that evolves into much more.
The Lord of the Rings: The Fellowship of the Ring,178 min,8.8,92,"34,709",$315.54M,A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.
Forrest Gump,142 min,8.8,82,"34,709",$330.25M,"The presidencies of Kennedy and Johnson, the Vietnam War, the Watergate scandal and other historical events unfold from the perspective of an Alabama man with an IQ of 75, whose only desire is to be reunited with his childhood sweetheart."
The Matrix,136 min,8.7,73,"34,709",$171.48M,"When a beautiful stranger leads computer hacker Neo to a forbidding underworld, he discovers the shocking truth--the life he knows is the elaborate deception of an evil cyber-intelligence."
Star Wars: Episode V - The Empire Strikes Back,124 min,8.7,82,"34,709",$290.48M,"After the Rebels are brutally overpowered by the Empire on the ice planet Hoth, Luke Skywalker begins Jedi training with Yoda, while his friends are pursued across the galaxy by Darth Vader and bounty hunter Boba Fett."
